Zip Code,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races alone,Hispanic or Latino,Year
98101,8365,760,157,2300,39,20,542,609,2018
98188,8834,5798,190,3949,789,18,1650,3707,2018
98195,17,15,0,0,0,0,0,19,2018
98105,30054,904,201,12044,134,246,2798,2480,2018
98104,6876,1435,234,3502,47,50,863,1137,2018
98118,14638,11482,120,14593,352,64,3355,3832,2018
98134,437,98,31,110,0,8,62,58,2018
98125,25752,3871,453,6260,177,100,2558,3304,2018
98102,18786,563,57,3255,85,41,1529,1132,2018
98108,6609,4073,196,8860,170,172,1312,2588,2018
98144,13943,5190,309,6325,49,159,2098,3772,2018
98115,41053,1058,45,5990,36,91,3150,2008,2018
98104,5227,1794,171,3381,60,25,647,886,2011
98105,31132,873,265,7791,160,6,2454,1966,2011
98108,5458,2587,174,9791,394,0,779,3400,2011
98118,11894,12800,149,14541,589,408,1287,2886,2011
98195,2,0,0,0,0,0,2,0,2011
98102,16764,555,318,1513,0,15,940,878,2011
98125,23970,1586,128,5879,182,181,1493,3162,2011
98188,9470,3934,281,2763,1057,162,1074,4217,2011
98115,36845,1076,165,4215,95,7,1655,1609,2011
98144,10188,4925,102,6635,114,63,1194,2266,2011
98101,6824,579,206,1131,0,0,362,324,2011
98134,454,261,7,87,0,0,34,29,2011
98104,5602,1858,210,3447,39,12,562,900,2012
98105,31612,896,230,8241,140,6,2322,1821,2012
98108,5307,3382,269,10193,300,0,1038,3098,2012
98118,12402,12350,145,13608,407,386,1519,2948,2012
98195,11,0,0,0,0,0,1,0,2012
98102,17070,714,287,1549,0,12,856,1317,2012
98125,23813,1866,200,5635,176,142,1502,2694,2012
98188,9221,4308,257,3084,713,218,1081,4034,2012
98115,37076,1147,124,4375,112,14,1759,1729,2012
98144,10916,4696,107,6971,143,69,1263,2164,2012
98101,7160,621,190,1017,0,19,383,461,2012
98134,404,318,7,100,0,0,41,45,2012
98104,5772,1966,222,3360,73,13,470,995,2013
98105,31239,766,135,8722,161,0,2607,1702,2013
98108,5687,3605,157,9330,370,0,1403,3474,2013
98118,12317,11752,160,13254,440,36,1936,3723,2013
98195,26,0,0,0,0,0,3,0,2013
98102,17379,622,235,1866,0,14,1036,1341,2013
98125,24053,2097,207,5873,179,64,1485,2686,2013
98188,9581,4676,270,3456,475,168,1089,3763,2013
98115,38544,904,110,4109,117,68,2021,1738,2013
98144,11417,4145,98,6541,89,36,1550,2553,2013
98101,7340,625,135,1266,12,111,462,692,2013
98134,399,223,7,139,0,0,57,31,2013
