Location_Name,Population,People_Tested,People_Tested_Rate,All_Test_Results,All_Test_Results_Rate,Positives,Positive_Rate,Confirmed_Cases,Confirmed_Case_Rate,Probable_Cases,Probable_Case_Rate,Hospitalizations,Hospitalization_Rate,Deaths,Death_Rate
53033000100,8156.852,5669,69499.85,15406,188871.88,1047,12835.83,1000,12259.63,47,576.2,37,453.61,5,61.3
53033000200,8511.072,6015,70672.65,15995,187931.67,965,11338.17,927,10891.69,38,446.48,38,446.48,5,58.75
53033000300,2861.162,2569,89788.69,8008,279886.28,395,13805.58,368,12861.91,27,943.67,11,384.46,4,139.8
53033000401,6613.086001,4724,71434.12,12535,189548.42,855,12928.91,820,12399.66,35,529.25,36,544.38,7,105.85
53033000402,5375.182003,3907,72685.91,11398,212048.63,605,11255.43,578,10753.12,27,502.31,22,409.29,9,167.44
53033000500,3366.652001,2615,77673.61,7337,217931.64,326,9683.21,314,9326.77,12,356.44,8,237.62,2,59.41
53033000600,8174.236,7857,96119.07,19654,240438.37,1126,13774.99,1085,13273.41,41,501.58,37,452.64,9,110.1
53033000700,5509.813999,3717,67461.44,9972,180986.15,610,11071.15,593,10762.61,17,308.54,20,362.99,4,72.6
53033000800,2721.801,2038,74876.89,5644,207362.7,269,9883.16,260,9552.5,9,330.66,8,293.92,12,440.88
53033000900,2192.916,1700,77522.35,4920,224358.8,224,10214.71,210,9576.29,14,638.42,9,410.41,2,91.2
53033001000,2059.974,1492,72428.1,4103,199177.27,220,10679.75,211,10242.85,9,436.9,10,485.44,2,97.09
53033001100,2701.379,1963,72666.59,5541,205117.46,271,10031.91,257,9513.66,14,518.25,7,259.13,1,37.02
53033001200,7919.137,5722,72255.35,16998,214644.6,1029,12993.84,980,12375.09,49,618.75,28,353.57,9,113.65
53033001300,5185.529999,3629,69983.2,10593,204279.99,672,12959.14,647,12477.03,25,482.11,41,790.66,11,212.13
53033001400,5349.586001,3927,73407.55,10748,200912.74,602,11253.21,563,10524.18,39,729.03,15,280.4,1,18.69
53033001500,2647.814,2252,85051.29,6048,228414.84,380,14351.46,360,13596.12,20,755.34,5,188.84,2,75.53
53033001600,4665.725001,3554,76172.51,10329,221380.39,483,10352.09,449,9623.37,34,728.72,18,385.79,7,150.03
53033001701,4228.272,3113,73623.46,9082,214792.24,462,10926.45,449,10619,13,307.45,11,260.15,2,47.3
53033001702,5337.871,4277,80125.58,13087,245172.65,663,12420.68,630,11802.46,33,618.22,35,655.69,10,187.34
53033001800,5234.454999,3976,75958.24,11980,228868.14,682,13029.05,664,12685.18,18,343.88,12,229.25,2,38.21
53033001900,4466.529,3761,84204.09,10587,237029.69,507,11351.1,491,10992.88,16,358.22,16,358.22,5,111.94
53033002000,3784.342,2965,78349.16,8421,222522.17,400,10569.87,385,10173.5,15,396.37,4,105.7,0,0
53033002100,4076.407,3230,79236.45,9445,231699.14,413,10131.47,397,9738.97,16,392.5,7,171.72,6,147.19
53033002200,5839.227002,4562,78126.78,12771,218710.46,506,8665.53,477,8168.89,29,496.64,4,68.5,3,51.38
53033002400,3147.112,2424,77023,7607,241713.67,242,7689.59,230,7308.29,12,381.3,4,127.1,0,0
53033002500,2992.421,2632,87955.54,7564,252771.92,275,9189.88,267,8922.54,8,267.34,2,66.84,1,33.42
53033002600,5611.114,4421,78790.06,12931,230453.35,575,10247.52,555,9891.08,20,356.44,13,231.68,1,17.82
53033002700,5798.817,4756,82016.73,14723,253896.61,711,12261.12,690,11898.98,21,362.14,11,189.69,2,34.49
53033002800,4875.854999,3893,79842.41,11996,246028.65,485,9946.97,465,9536.79,20,410.18,8,164.07,0,0
53033002900,4601.317,3861,83910.76,11771,255818.06,466,10127.54,450,9779.81,16,347.73,5,108.66,1,21.73
53033003000,6319.263,4891,77398.27,14199,224693.92,548,8671.9,529,8371.23,19,300.67,8,126.6,1,15.82
